tt2488496	nm0009190	nm0001410,nm0009190,nm1578335,nm0000184
tt3748528	nm2284484	nm0919363,nm0006904,nm0461306,nm1729428,nm0000184
tt1772341	nm0601781	nm0601781,nm1601882,nm0714114,nm1601644,nm0000604,nm0505946,nm2972864,nm0095460,nm0205645,nm0467605,nm0594427,nm0607310,nm0619913,nm0864880,nm1136565,nm1393643,nm1398795,nm1432739,nm1448771,nm1457532,nm1458859,nm1540577,nm1620016,nm1647599,nm1672829,nm2316344,nm4893299
tt1323594	nm1853544,nm0719208	nm0666791,nm0202425,nm0655053
tt0878804	nm0359387	nm0359387,nm1034122
tt2771200	nm0174374	nm0154716,nm0818746,nm0941314,nm3343855,nm0207305
tt3183660	nm0946734	nm0746830
tt3640424	nm0000709	nm1140275
tt0091217	nm0000770	nm0686233
tt0100405	nm0005190	nm0493369
tt0075148	nm0000814	nm0000230
tt0108160	nm0001188	nm0033578,nm0001188,nm0911486
tt6501412	\N	nm6087981
tt0857497	nm0431918	nm0251550,nm0431918
tt0063176	nm0765430	nm0765430
tt0131272	\N	\N
