nm0009190	J.J. Abrams	1966	\N	producer,writer,music_department	tt1650062,tt2488496,tt0317919,tt0411008
nm1727304	Domhnall Gleeson	1983	\N	actor,writer,soundtrack	tt1201607,tt1663202,tt0470752,tt2194499
nm1209966	Oscar Isaac	1979	\N	actor,soundtrack,producer	tt2042568,tt0470752,tt0780504,tt2488496
nm3915784	John Boyega	1992	\N	actor,producer,soundtrack	tt3331028,tt2488496,tt5390504,tt1478964
nm5397459	Daisy Ridley	1992	\N	actress,producer,soundtrack	tt3402236,tt2488496,tt0102587,tt3702134
nm0001410	Lawrence Kasdan	1949	\N	writer,producer,director	tt2488496,tt0082971,tt0080684,tt0086190
nm1578335	Michael Arndt	1965	\N	writer,miscellaneous,producer	tt2096673,tt0435761,tt2488496,tt1951264
nm0000184	George Lucas	1944	\N	writer,producer,editor	tt0097576,tt0076759,tt0086190,tt0121765
nm0005086	Kathleen Kennedy	1953	\N	producer,miscellaneous,executive	tt0167404,tt2488496,tt0108052,tt0088763
nm1333357	Bryan Burk	1968	\N	producer,writer	tt0411008,tt0796366,tt2488496,tt1839578
nm2284484	Gareth Edwards	1975	\N	visual_effects,director,writer	tt0925248,tt3748528,tt1470827,tt0831387
nm0006904	Tony Gilroy	1956	\N	producer,writer,director	tt0440963,tt1194173,tt3748528,tt0258463
nm0876138	Alan Tudyk	1971	\N	actor,writer,producer	tt3748528,tt0379786,tt0343818,tt2294629
nm0919363	Chris Weitz	1969	\N	producer,writer,miscellaneous	tt3748528,tt0276751,tt1661199,tt0385752
nm0428065	Felicity Jones	1983	\N	actress,producer,soundtrack	tt1872181,tt2980516,tt3748528,tt3062096
nm0461306	John Knoll	1962	\N	visual_effects,actor,miscellaneous	tt0076759,tt0325980,tt0499549,tt0086190
nm0947447	Donnie Yen	1963	\N	actor,stunts,assistant_director	tt1220719,tt1386932,tt3748528,tt0187738
nm0526019	Diego Luna	1979	\N	producer,actor,director	tt3748528,tt1535108,tt0362227,tt1013753
nm1729428	Gary Whitta	\N	\N	writer,producer,actor	tt1815862,tt3390964,tt1037705,tt3748528
nm0601781	Rich Moore	1963	\N	miscellaneous,director,art_department	tt0096697,tt2948356,tt2245084,tt1772341
nm1442113	Jack McBrayer	1973	\N	actor,soundtrack,producer	tt1323594,tt0800039,tt1772341,tt0496424
nm0000604	John C. Reilly	1965	\N	actor,writer,producer	tt0838283,tt0415306,tt1772341,tt0299658
nm0505946	Sam Levine	1973	\N	actor,writer,director	tt2349440,tt3293184,tt1772341,tt0120855
nm0714114	Jim Reardon	\N	\N	assistant_director,animation_department,writer	tt0096697,tt0910970,tt2948356,tt1772341
nm1601644	Jennifer Lee	1971	\N	writer,miscellaneous,director	tt2294629,tt2948356,tt4007502,tt1772341
nm1601882	Phil Johnston	\N	\N	writer,producer,actor	tt3381008,tt1772341,tt2948356,tt1477837
nm0528331	Jane Lynch	1960	\N	actress,soundtrack,producer	tt0405422,tt1772341,tt1327801,tt0430922
nm0798971	Sarah Silverman	1970	\N	actress,writer,producer	tt0129387,tt0332379,tt0422528,tt1772341
nm2972864	Jared Stern	\N	\N	writer,producer,miscellaneous	tt4116284,tt1772341,tt2234155,tt1298649
nm1853544	Pierre Coffin	1967	\N	actor,director,producer	tt1323594,tt3469046,tt2293640,tt1690953
nm0719208	Chris Renaud	\N	\N	producer,actor,director	tt1690953,tt1482459,tt2709768,tt1323594
nm0202425	Ken Daurio	\N	\N	writer,director,actor	tt1690953,tt1323594,tt0451079,tt2709768
nm0000267	Julie Andrews	1935	\N	actress,soundtrack,producer	tt0059742,tt0298148,tt1323594,tt0058331
nm2805697	John Cohen	\N	\N	producer,miscellaneous,writer	tt1985949,tt0438097,tt1411704,tt1323594
nm0136797	Steve Carell	1962	\N	actor,producer,writer	tt0405422,tt0386676,tt1570728,tt1323594
nm0781981	Jason Segel	1980	\N	actor,soundtrack,writer	tt1204342,tt0800039,tt1323594,tt0460649
nm0666791	Cinco Paul	1964	\N	writer,producer,actor	tt2709768,tt1323594,tt0451079,tt1690953
nm0655053	Sergio Pablos	\N	\N	animation_department,writer,producer	tt0119282,tt0120855,tt1323594,tt0113198
nm1258970	Russell Brand	1975	\N	actor,producer,writer	tt1411704,tt0800039,tt1226229,tt1334512
nm0359387	John Lee Hancock	1956	\N	director,writer,producer	tt2140373,tt0318974,tt0878804,tt1735898
nm2466842	Quinton Aaron	1984	\N	actor,producer,writer	tt3517776,tt2395339,tt0878804
nm0005210	Tim McGraw	1967	\N	soundtrack,actor,music_department	tt2627702,tt7550576,tt1785321,tt0878804
nm0626696	Gil Netter	\N	\N	producer,music_department	tt0878804,tt0454876,tt0183649,tt0119738
nm0424663	Broderick Johnson	\N	\N	producer,executive	tt0878804,tt1392214,tt0278504,tt1037705
nm2052567	Jae Head	1996	\N	actor	tt0878804,tt2950052,tt0758745,tt0448157
nm1034122	Michael Lewis	1960	\N	writer	tt1210166,tt0878804,tt1596363,tt0293453
nm0000113	Sandra Bullock	1964	\N	producer,actress,soundtrack	tt0375679,tt1041829,tt1454468,tt0212346
nm0467255	Andrew A. Kosove	\N	\N	producer,executive	tt1037705,tt0278504,tt0878804,tt1392214
nm0001980	Carter Burwell	1955	\N	composer,music_department,soundtrack	tt0780536,tt0116282,tt0120601,tt1403865
nm0174374	Bill Condon	1955	\N	director,writer,producer	tt0443489,tt0120684,tt2771200,tt0362269
nm1812656	Luke Evans	1979	\N	actor,soundtrack	tt1905041,tt0829150,tt2771200,tt1486192
nm0207305	Jeanne-Marie Leprince de Beaumont	1711	1780	writer	tt2316801,tt2771200,tt0038348,tt0101414
nm0154716	Stephen Chbosky	1970	\N	writer,producer,director	tt1659337,tt2543472,tt2771200
nm1265802	Josh Gad	1981	\N	actor,producer,writer	tt0884732,tt2294629,tt2771200,tt0758752
nm1405398	Dan Stevens	1982	\N	actor,producer,soundtrack	tt2771200,tt1606375,tt2980592
nm3343855	Gabrielle-Suzanne Barbot de Villeneuve	1685	1755	writer	tt0101414,tt0092626,tt3500508,tt2771200
nm0818746	Evan Spiliotopoulos	\N	\N	writer,miscellaneous,producer	tt2771200,tt1267297,tt2381991,tt1216516
nm0914612	Emma Watson	1990	\N	actress,soundtrack,producer	tt0241527,tt0295297,tt0926084,tt2771200
nm0941314	Linda Woolverton	1952	\N	writer,miscellaneous,actress	tt0110357,tt1014759,tt1587310,tt0101414
nm0946734	David Yates	1963	\N	director,producer,writer	tt1201607,tt0417741,tt0373889,tt0926084
nm0837223	Alison Sudol	1984	\N	soundtrack,actress,writer	tt1327194,tt1586265,tt1067774,tt0480242
nm0283945	Dan Fogler	1976	\N	actor,director,soundtrack	tt3183660,tt0424823,tt0451079,tt0441773
nm0460141	Steve Kloves	1960	\N	writer,producer,director	tt0295297,tt0304141,tt0241527,tt1201607
nm0006133	James Newton Howard	1951	\N	music_department,composer,soundtrack	tt0468569,tt1951264,tt1587310,tt0465538
nm0382268	David Heyman	1961	\N	producer,actor,executive	tt1201607,tt0241527,tt0330373,tt1454468
nm0746830	J.K. Rowling	1965	\N	writer,producer,soundtrack	tt0295297,tt0241527,tt1201607,tt0330373
nm2239702	Katherine Waterston	1980	\N	actress,producer	tt2316204,tt3183660,tt2080374,tt1791528
nm0927880	Lionel Wigram	\N	\N	producer,writer,miscellaneous	tt0988045,tt0373889,tt1201607,tt1638355
nm1519666	Eddie Redmayne	1982	\N	actor,soundtrack	tt1707386,tt0810819,tt3183660,tt2980516
nm0000709	Robert Zemeckis	1952	\N	producer,writer,director	tt0338348,tt0099088,tt0096874,tt0088763
nm0182839	Marion Cotillard	1975	\N	actress,soundtrack,director	tt0450188,tt1345836,tt2053425,tt1375666
nm0121281	Don Burgess	1956	\N	cinematographer,camera_department,actor	tt0109830,tt0145487,tt0945513,tt0162222
nm1081121	Vincent Ebrahim	\N	\N	actor	tt3640424,tt0312004,tt0300792,tt0927170
nm0823330	Steve Starkey	\N	\N	producer,assistant_director,editorial_department	tt0162222,tt1907668,tt0096874,tt0109830
nm0006293	Alan Silvestri	1950	\N	composer,soundtrack,music_department	tt0458339,tt0848228,tt0109830,tt0481499
nm0364813	Jared Harris	1961	\N	actor,soundtrack,director	tt1515091,tt0787474,tt0443272,tt0110632
nm0000093	Brad Pitt	1963	\N	actor,producer,soundtrack	tt0137523,tt0421715,tt0361748,tt0816711
nm1140275	Steven Knight	\N	\N	writer,producer,director	tt2692904,tt0765443,tt1596345,tt2442560
nm0454752	Graham King	1961	\N	producer,executive	tt0407887,tt0450259,tt1024648,tt0816711
nm0000770	David Anspaugh	1946	\N	producer,director	tt0113851,tt0091217,tt0081873,tt0108002
nm0000432	Gene Hackman	1930	\N	actor,soundtrack,producer	tt0105695,tt0265666,tt0120660,tt0067116
nm0002320	Fred Murphy	\N	\N	cinematographer,camera_department,assistant_director	tt1442462,tt0329101,tt0363988,tt0132477
