tt2488496	movie	Star Wars: The Force Awakens	Star Wars: Episode VII - The Force Awakens	0	2015	\N	136	Action,Adventure,Fantasy
tt0063176	movie	Karla	Karla	1	1969	\N	80	Adult,Drama
tt1772341	movie	Wreck-It Ralph	Wreck-It Ralph	0	2012	\N	101	Adventure,Animation,Comedy
tt1323594	movie	Despicable Me	Despicable Me	0	2010	\N	95	Adventure,Animation,Comedy
tt0091217	movie	Hoosiers	Hoosiers	0	1986	\N	114	Drama,Sport
tt0878804	movie	The Blind Side	The Blind Side	0	2009	\N	129	Biography,Drama,Sport
tt2771200	movie	Beauty and the Beast	Beauty and the Beast	0	2017	\N	129	Family,Fantasy,Musical
tt6501412	tvEpisode	Madam Secretary S1	Madam Secretary S1	0	2015	\N	\N	\N
tt3183660	movie	Fantastic Beasts and Where to Find Them	Fantastic Beasts and Where to Find Them	0	2016	\N	133	Adventure,Family,Fantasy
tt3640424	movie	Allied	Allied	0	2016	\N	124	Action,Drama,Romance
tt0100405	movie	Pretty Woman	Pretty Woman	0	1990	\N	119	Comedy,Romance
tt0075148	movie	Rocky	Rocky	0	1976	\N	120	Drama,Sport
tt0857497	tvEpisode	Home Improvement	Home Improvement	0	1993	\N	28	Animation,Comedy,Music
tt0131272	movie	All for One	All for One	1	1988	\N	\N	Adult
tt3748528	movie	Rogue One	Rogue One	0	2016	\N	133	Action,Adventure,Sci-Fi
tt0108160	movie	Sleepless in Seattle	Sleepless in Seattle	0	1993	\N	105	Comedy,Drama,Romance
